yyyy mm dd   obs(mm) p24_cat0 p24_cat1 p24_cat2 p48_cat0 p48_cat1 p48_cat2
2003  2 27      0.0      0.9      0.1      0.0      0.9      0.1      0.0
2003  2 28      0.0      1.0      0.0      0.0      0.8      0.2      0.0
2003  3  1      0.0      1.0      0.0      0.0      1.0      0.0      0.0
2003  3  2      0.1      0.9      0.1      0.0      1.0      0.0      0.0
2003  3  3      0.0      0.9      0.1      0.0      0.9      0.1      0.0
2003  3  4      0.1      1.0      0.0      0.0      0.9      0.1      0.0
2003  3  5      0.0      1.0      0.0      0.0      1.0      0.0      0.0
2003  3  6      0.0      1.0      0.0      0.0      0.9      0.1      0.0
2003  3  7      0.0      0.5      0.5      0.0      0.8      0.2      0.0
2003  3  8      0.0      0.8      0.2      0.0      1.0      0.0      0.0
2003  3  9      0.2      0.5      0.5      0.0      0.7      0.3      0.0
2003  3 10      3.5     -999     -999     -999      0.3      0.5      0.2
2003  3 11      0.0      0.7      0.3      0.0     -999     -999     -999
2003  3 12      0.0      0.7      0.3      0.0      0.8      0.2      0.0
2003  3 13      0.0      0.8      0.1      0.1      0.9      0.1      0.0
2003  3 14      0.0      0.8      0.1      0.1      0.8      0.1      0.1
2003  3 15      0.0      1.0      0.0      0.0      0.8      0.1      0.1
2003  3 16      0.0      0.9      0.1      0.0      1.0      0.0      0.0
2003  3 17      0.0      0.8      0.2      0.0      0.8      0.2      0.0
2003  3 18      0.0      1.0      0.0      0.0      0.8      0.2      0.0
2003  3 19      0.0      1.0      0.0      0.0      1.0      0.0      0.0
2003  3 20      0.0      0.8      0.1      0.1      1.0      0.0      0.0
2003  3 21      0.0      1.0      0.0      0.0      0.8      0.1      0.1
2003  3 22      0.0      0.7      0.3      0.0      0.9      0.1      0.0
2003  3 23      0.0      0.8      0.2      0.0      0.8      0.2      0.0
2003  3 24      0.0      0.8      0.1      0.1      0.9      0.1      0.0
2003  3 25      0.0      1.0      0.0      0.0      0.8      0.1      0.1
2003  3 26      0.0      1.0      0.0      0.0      1.0      0.0      0.0
2003  3 27      0.0      1.0      0.0      0.0      0.8      0.2      0.0
2003  3 28      0.0      0.9      0.1      0.0      1.0      0.0      0.0
2003  3 29      0.0      1.0      0.0      0.0      0.8      0.2      0.0
2003  3 30      0.6      1.0      0.0      0.0      0.7      0.3      0.0
2003  3 31      0.0      0.7      0.3      0.0      0.3      0.7      0.0
2003  4  1      0.0      1.0      0.0      0.0      1.0      0.0      0.0
2003  4  2      0.0      0.8      0.2      0.0      0.9      0.1      0.0
2003  4  3      0.0      0.8      0.2      0.0      0.4      0.6      0.0
2003  4  4      1.2      0.1      0.8      0.1      0.8      0.2      0.0
2003  4  5      1.9      0.4      0.6      0.0      0.6      0.4      0.0
2003  4  6      0.0      1.0      0.0      0.0      0.9      0.1      0.0
2003  4  7      0.0      1.0      0.0      0.0      1.0      0.0      0.0
2003  4  8      0.0      0.7      0.2      0.1      0.2      0.8      0.0
2003  4  9      0.0      0.7      0.2      0.1      0.7      0.2      0.1
2003  4 10      0.5      0.2      0.8      0.0      0.6      0.3      0.1
2003  4 11      0.0      0.5      0.5      0.0      0.7      0.3      0.0
2003  4 12      0.0      0.3      0.7      0.0      0.7      0.3      0.0
2003  4 13      0.0      0.4      0.6      0.0      0.7      0.3      0.0
2003  4 14      0.0      0.7      0.2      0.1      0.7      0.3      0.0
2003  4 15      0.0      0.7      0.2      0.1      0.8      0.1      0.1
2003  4 16      0.0      0.9      0.1      0.0      0.6      0.3      0.1
2003  4 17      0.0      0.9      0.1      0.0      0.9      0.1      0.0
2003  4 18      0.0      0.9      0.1      0.0      0.9      0.1      0.0
2003  4 19      0.0      0.9      0.1      0.0      0.9      0.1      0.0
2003  4 20      0.0      0.8      0.1      0.1      0.9      0.1      0.0
2003  4 21      0.0      0.8      0.1      0.1      0.8      0.1      0.1
2003  4 22      0.0      0.9      0.1      0.0      0.8      0.1      0.1
2003  4 23      0.0      0.8      0.2      0.0      0.6      0.4      0.0
2003  4 24      0.0      0.8      0.2      0.0      0.8      0.2      0.0
2003  4 25      0.0      0.8      0.2      0.0      0.2      0.8      0.0
2003  4 26      0.0      0.8      0.2      0.0      0.8      0.2      0.0
2003  4 27      0.0      0.8      0.2      0.0      0.9      0.1      0.0
2003  4 28      1.7     -999     -999     -999      0.2      0.6      0.2
2003  4 29      0.0      0.7      0.3      0.0     -999     -999     -999
2003  4 30      0.2      0.3      0.7      0.0      0.1      0.8      0.1
2003  5  1     15.6      0.0      0.2      0.8      0.3      0.7      0.0
2003  5  2      0.0      0.8      0.2      0.0      0.9      0.1      0.0
2003  5  3      0.0      0.9      0.1      0.0      0.6      0.4      0.0
2003  5  4      0.0      0.8      0.2      0.0      0.7      0.3      0.0
2003  5  5      0.0     -999     -999     -999      0.8      0.2      0.0
2003  5  6      6.9      0.1      0.3      0.6     -999     -999     -999
2003  5  7      0.0      0.4      0.5      0.1      0.6      0.2      0.2
2003  5  8      0.0      0.9      0.1      0.0      0.8      0.1      0.1
2003  5  9      0.0      0.9      0.1      0.0      0.4      0.6      0.0
2003  5 10      1.0      0.8      0.2      0.0      0.9      0.1      0.0
2003  5 11      0.0      0.9      0.1      0.0      0.9      0.1      0.0
2003  5 12      0.0     -999     -999     -999      0.9      0.1      0.0
2003  5 13      0.0      0.2      0.8      0.0     -999     -999     -999
2003  5 14      9.4      0.0      0.4      0.6      0.0      0.6      0.4
2003  5 15      0.0      0.9      0.1      0.0      0.7      0.3      0.0
2003  5 16      7.2      0.0      0.8      0.2      0.0      0.4      0.6
2003  5 17      5.8      0.2      0.8      0.0      0.2      0.8      0.0
2003  5 18      0.2      0.5      0.5      0.0      0.2      0.8      0.0
2003  5 19      9.4      0.4      0.6      0.0      0.5      0.5      0.0
2003  5 20      0.4      0.5      0.3      0.2      0.8      0.2      0.0
2003  5 21      0.0      0.8      0.2      0.0      0.6      0.3      0.1
2003  5 22      0.0      0.9      0.1      0.0      0.8      0.2      0.0
2003  5 23      0.2      0.8      0.2      0.0      0.8      0.2      0.0
2003  5 24      0.0      0.3      0.7      0.0      0.2      0.7      0.1
2003  5 25      0.0      0.8      0.2      0.0      0.4      0.6      0.0
2003  5 26      6.6      0.2      0.5      0.3      0.0      0.8      0.2
2003  5 27      0.0      0.9      0.1      0.0      0.8      0.2      0.0
2003  5 28      0.0      0.8      0.1      0.1      0.7      0.3      0.0
2003  5 29      0.0      1.0      0.0      0.0      0.6      0.3      0.1
2003  5 30      2.1     -999     -999     -999      0.2      0.8      0.0
2003  5 31      0.0      0.4      0.6      0.0     -999     -999     -999
2003  6  1      0.0      0.9      0.1      0.0      0.7      0.3      0.0
2003  6  2      0.0      0.9      0.1      0.0      0.8      0.2      0.0
2003  6  3      0.0      0.8      0.2      0.0      0.7      0.3      0.0
2003  6  4      2.1      0.7      0.3      0.0      0.9      0.1      0.0
2003  6  5      2.3      0.7      0.2      0.1      0.3      0.6      0.1
2003  6  6      0.2      0.3      0.4      0.3      0.3      0.3      0.4
2003  6  7      0.0      0.4      0.6      0.0      0.6      0.3      0.1
2003  6  8      0.0      0.9      0.1      0.0      0.7      0.3      0.0
2003  6  9      9.0      0.1      0.3      0.6      0.3      0.5      0.2
2003  6 10      0.0      0.8      0.2      0.0      0.5      0.4      0.1
2003  6 11      0.0      1.0      0.0      0.0      0.9      0.1      0.0
2003  6 12      0.0      0.3      0.6      0.1      0.4      0.6      0.0
2003  6 13      0.0      0.3      0.7      0.0      0.3      0.6      0.1
2003  6 14      0.4      0.5      0.5      0.0      1.0      0.0      0.0
2003  6 15      0.0      0.3      0.6      0.1      0.5      0.5      0.0
2003  6 16      3.7      0.4      0.6      0.0      0.3      0.6      0.1
2003  6 17      3.1      0.6      0.4      0.0      0.6      0.4      0.0
2003  6 18      0.0      0.8      0.2      0.0      0.8      0.2      0.0
2003  6 19      0.0      0.2      0.5      0.3      0.6      0.4      0.0
2003  6 20      9.3      0.3      0.4      0.3      0.2      0.5      0.3
2003  6 21      0.0      0.6      0.3      0.1      0.7      0.2      0.1
2003  6 22      0.0      0.7      0.3      0.0      0.7      0.2      0.1
2003  6 23      0.0      0.8      0.2      0.0      0.8      0.2      0.0
2003  6 24      0.9      0.7      0.3      0.0      0.7      0.3      0.0
2003  6 25      0.0      0.7      0.3      0.0      0.7      0.3      0.0
2003  6 26      0.0      0.3      0.6      0.1      0.3      0.6      0.1
2003  6 27      0.0      0.8      0.2      0.0      0.4      0.6      0.0
2003  6 28      0.6      0.3      0.7      0.0      0.2      0.6      0.2
2003  6 29      0.2      0.2      0.6      0.2      0.5      0.5      0.0
2003  6 30      0.0      0.6      0.4      0.0      0.4      0.5      0.1
2003  7  1      0.0      0.8      0.2      0.0      0.6      0.3      0.1
2003  7  2      0.0      0.6      0.3      0.1      0.8      0.2      0.0
2003  7  3      1.5      0.3      0.6      0.1      0.3      0.6      0.1
2003  7  4      0.0      0.7      0.3      0.0      0.3      0.6      0.1
2003  7  5      0.0      0.5      0.5      0.0      0.6      0.4      0.0
2003  7  6      0.0      0.5      0.4      0.1      0.3      0.7      0.0
2003  7  7      0.0      0.9      0.1      0.0      0.9      0.1      0.0
2003  7  8      0.0      0.9      0.1      0.0      0.9      0.1      0.0
2003  7  9      0.1      0.3      0.6      0.1      0.2      0.5      0.3
2003  7 10      0.1      0.7      0.3      0.0      0.2      0.6      0.2
2003  7 11      0.4     -999     -999     -999      0.4      0.6      0.0
2003  7 12      2.9      0.8      0.2      0.0     -999     -999     -999
2003  7 13      0.0      0.7      0.3      0.0      0.9      0.1      0.0
2003  7 14      0.0      0.8      0.2      0.0      0.8      0.2      0.0
2003  7 15      0.0      0.8      0.2      0.0      0.8      0.2      0.0
2003  7 16      0.0      0.7      0.3      0.0      0.7      0.3      0.0
2003  7 17      0.0      0.8      0.2      0.0      0.7      0.3      0.0
2003  7 18      0.0      0.5      0.5      0.0      0.7      0.3      0.0
2003  7 19      0.0      0.5      0.5      0.0      0.5      0.5      0.0
2003  7 20      0.0      0.8      0.2      0.0      0.5      0.5      0.0
2003  7 21      0.0      0.7      0.3      0.0      0.9      0.1      0.0
2003  7 22      0.0      0.6      0.4      0.0      0.8      0.2      0.0
2003  7 23      0.0     -999     -999     -999      0.4      0.6      0.0
2003  7 24      0.0      0.6      0.4      0.0     -999     -999     -999
2003  7 25      0.0      0.6      0.2      0.2      0.7      0.3      0.0
2003  7 26      0.0      0.4      0.3      0.3      0.4      0.3      0.3
2003  7 27      6.0      0.2      0.8      0.0      0.4      0.2      0.4
2003  7 28      3.4      0.2      0.8      0.0      0.3      0.7      0.0
2003  7 29      6.2      0.1      0.7      0.2      0.2      0.8      0.0
2003  7 30      0.0      0.4      0.6      0.0      0.6      0.4      0.0
2003  7 31      5.8      0.5      0.1      0.4      0.4      0.6      0.0
2003  8  1      0.0      0.6      0.1      0.3      0.5      0.1      0.4
2003  8  2      0.0      0.6      0.2      0.2      0.7      0.1      0.2
2003  8  3      0.5      0.4      0.3      0.3      0.3      0.3      0.4
2003  8  4      0.0      0.3      0.7      0.0      0.6      0.2      0.2
2003  8  5     12.1      0.2      0.8      0.0      0.2      0.8      0.0
2003  8  6      0.2      0.7      0.3      0.0      0.7      0.3      0.0
2003  8  7      0.0      0.9      0.1      0.0      0.8      0.2      0.0
2003  8  8      4.2      0.5      0.4      0.1      0.8      0.2      0.0
2003  8  9      1.0      0.7      0.2      0.1      0.6      0.3      0.1
2003  8 10      0.0      0.3      0.7      0.0      0.8      0.1      0.1
2003  8 11      0.0      1.0      0.0      0.0      1.0      0.0      0.0
2003  8 12      0.0      0.8      0.2      0.0      0.7      0.3      0.0
2003  8 13      0.0      0.7      0.3      0.0      0.3      0.7      0.0
2003  8 14      7.1      0.3      0.6      0.1      0.1      0.5      0.4
2003  8 15      0.0      0.4      0.5      0.1      0.2      0.6      0.2
2003  8 16      0.0      0.6      0.3      0.1      0.2      0.5      0.3
2003  8 17      0.0      0.8      0.2      0.0      0.4      0.5      0.1
2003  8 18      0.0      1.0      0.0      0.0      1.0      0.0      0.0
2003  8 19      0.0      0.8      0.2      0.0      0.8      0.2      0.0
2003  8 20      0.4      0.3      0.6      0.1      0.1      0.8      0.1
2003  8 21      0.0      0.3      0.6      0.1      0.4      0.6      0.0
2003  8 22      0.2      0.5      0.4      0.1      0.5      0.5      0.0
2003  8 23      2.3      0.1      0.5      0.4      0.1      0.5      0.4
2003  8 24      0.6      0.3      0.6      0.1      0.5      0.4      0.1
2003  8 25      0.0      0.6      0.4      0.0      0.6      0.4      0.0
2003  8 26      0.0      0.4      0.6      0.0      0.8      0.2      0.0
2003  8 27      0.0      0.3      0.7      0.0      0.2      0.8      0.0
2003  8 28      0.0      0.0      0.8      0.2      0.2      0.8      0.0
2003  8 29      2.5      0.2      0.6      0.2      0.3      0.7      0.0
2003  8 30      0.0      0.7      0.3      0.0      0.3      0.6      0.1
2003  8 31      0.0      0.4      0.6      0.0      0.4      0.6      0.0
2003  9  1      0.0      0.5      0.5      0.0      0.2      0.7      0.1
2003  9  2      0.0      0.9      0.1      0.0      0.8      0.2      0.0
2003  9  3      0.0      0.5      0.4      0.1      0.9      0.1      0.0
2003  9  4      0.0      0.7      0.2      0.1      0.6      0.3      0.1
2003  9  5      0.0      0.9      0.1      0.0      0.8      0.1      0.1
2003  9  6      0.0      0.9      0.1      0.0      0.9      0.1      0.0
2003  9  7      0.0      1.0      0.0      0.0      0.9      0.1      0.0
2003  9  8      0.0      1.0      0.0      0.0      0.9      0.1      0.0
2003  9  9      0.0      1.0      0.0      0.0      0.9      0.1      0.0
2003  9 10      0.0      1.0      0.0      0.0      0.9      0.1      0.0
2003  9 11      0.0      1.0      0.0      0.0      0.9      0.1      0.0
2003  9 12      0.0      0.8      0.2      0.0      1.0      0.0      0.0
2003  9 13      0.0      0.6      0.4      0.0      0.8      0.2      0.0
2003  9 14      0.0      1.0      0.0      0.0      0.9      0.1      0.0
2003  9 15      0.0     -999     -999     -999      0.9      0.1      0.0
2003  9 16      0.0      0.8      0.2      0.0     -999     -999     -999
2003  9 17      0.0      0.9      0.1      0.0      0.9      0.1      0.0
2003  9 18      0.0      0.7      0.3      0.0      0.5      0.4      0.1
2003  9 19      0.0      0.7      0.3      0.0      0.3      0.5      0.2
2003  9 20      0.0      1.0      0.0      0.0      1.0      0.0      0.0
2003  9 21      0.0      0.4      0.6      0.0      1.0      0.0      0.0
2003  9 22      0.0      0.7      0.3      0.0      0.4      0.6      0.0
2003  9 23      1.9      0.1      0.7      0.2      0.6      0.4      0.0
2003  9 24      0.0      0.9      0.1      0.0      0.3      0.7      0.0
2003  9 25      0.0      0.3      0.7      0.0      0.4      0.6      0.0
2003  9 26      0.0     -999     -999     -999      0.4      0.6      0.0
2003  9 27      0.0      0.0      0.8      0.2     -999     -999     -999
2003  9 28      0.0      0.1      0.8      0.1      0.0      0.7      0.3
2003  9 29      0.0      0.8      0.2      0.0      0.9      0.1      0.0
2003  9 30      0.0      0.5      0.5      0.0      0.8      0.2      0.0
2003 10  1      0.6      0.2      0.8      0.0      0.7      0.3      0.0
2003 10  2      4.1     -999     -999     -999      0.2      0.8      0.0
2003 10  3      0.0      0.7      0.2      0.1     -999     -999     -999
2003 10  4      0.0      0.4      0.6      0.0      0.2      0.3      0.5
2003 10  5      0.1      0.4      0.6      0.0      0.5      0.5      0.0
2003 10  6      0.0      0.3      0.5      0.2      0.6      0.4      0.0
2003 10  7      2.5      0.2      0.8      0.0      0.6      0.3      0.1
2003 10  8     25.2      0.0      0.8      0.2      0.0      0.7      0.3
2003 10  9      0.0      0.7      0.2      0.1      0.3      0.7      0.0
2003 10 10      0.2      0.8      0.1      0.1      0.6      0.3      0.1
2003 10 11      4.0      0.0      0.8      0.2      0.2      0.5      0.3
2003 10 12      1.4      0.3      0.6      0.1      0.8      0.2      0.0
2003 10 13      0.0      0.6      0.4      0.0      0.8      0.2      0.0
2003 10 14      0.0      1.0      0.0      0.0      0.9      0.1      0.0
2003 10 15      0.0      1.0      0.0      0.0      1.0      0.0      0.0
2003 10 16      0.0      0.9      0.1      0.0      1.0      0.0      0.0
2003 10 17      0.0      0.9      0.1      0.0      0.6      0.4      0.0
2003 10 18      0.0      0.7      0.3      0.0      0.8      0.2      0.0
2003 10 19      0.0      0.7      0.3      0.0      0.7      0.3      0.0
2003 10 20      0.0      0.8      0.2      0.0      0.8      0.2      0.0
2003 10 21      0.0      0.9      0.1      0.0      0.8      0.2      0.0
2003 10 22      0.0      1.0      0.0      0.0      1.0      0.0      0.0
2003 10 23      0.0      0.9      0.1      0.0      1.0      0.0      0.0
2003 10 24      3.0      0.2      0.6      0.2      0.7      0.3      0.0
2003 10 25      0.0      0.2      0.7      0.1      0.5      0.5      0.0
2003 10 26      0.0      0.7      0.2      0.1      0.6      0.4      0.0
2003 10 27      0.0     -999     -999     -999      0.7      0.2      0.1
2003 10 28      0.0      0.9      0.1      0.0     -999     -999     -999
2003 10 29      0.6      0.5      0.4      0.1      0.0      0.7      0.3
2003 10 30      0.0      0.6      0.4      0.0      0.2      0.4      0.4
2003 10 31      0.9      0.3      0.6      0.1      0.4      0.5      0.1
2003 11  1      0.0      0.7      0.3      0.0      0.6      0.4      0.0
2003 11  2      1.4      0.2      0.2      0.6      0.6      0.4      0.0
2003 11  3      0.0      0.3      0.5      0.2      0.3      0.5      0.2
2003 11  4      1.7      0.3      0.6      0.1      0.3      0.5      0.2
2003 11  5      0.0      0.9      0.1      0.0      0.8      0.2      0.0
2003 11  6      0.2      0.9      0.1      0.0      1.0      0.0      0.0
2003 11  7      0.0      0.9      0.1      0.0      1.0      0.0      0.0
2003 11  8      0.0      1.0      0.0      0.0      0.9      0.1      0.0
2003 11  9      0.0      1.0      0.0      0.0      1.0      0.0      0.0
2003 11 10    999.0      0.8      0.1      0.1      1.0      0.0      0.0
2003 11 11    999.0      0.7      0.2      0.1      0.8      0.1      0.1
2003 11 12      0.0     -999     -999     -999      0.7      0.2      0.1
2003 11 13      0.0      1.0      0.0      0.0     -999     -999     -999
2003 11 14      0.8      0.5      0.5      0.0      0.9      0.1      0.0
2003 11 15      0.0      1.0      0.0      0.0      0.7      0.3      0.0
2003 11 16      1.0      0.0      0.8      0.2      0.3      0.7      0.0
2003 11 17      1.0      0.3      0.4      0.3      0.2      0.8      0.0
2003 11 18      0.3      0.5      0.3      0.2      0.6      0.3      0.1
2003 11 19      0.1      0.4      0.6      0.0      0.3      0.5      0.2
2003 11 20      1.1      0.6      0.4      0.0      0.6      0.4      0.0
2003 11 21      0.0      0.7      0.3      0.0      0.2      0.8      0.0
2003 11 22      0.0      0.6      0.4      0.0      0.8      0.2      0.0
2003 11 23      0.2      0.7      0.3      0.0      0.6      0.4      0.0
2003 11 24      0.7     -999     -999     -999      0.2      0.6      0.2
2003 11 25      0.0      1.0      0.0      0.0     -999     -999     -999
2003 11 26      4.0      0.2      0.7      0.1      0.1      0.9      0.0
2003 11 27      9.6      0.0      0.6      0.4      0.2      0.7      0.1
2003 11 28      1.7      0.0      0.7      0.3      0.4      0.6      0.0
2003 11 29      0.1      0.2      0.7      0.1      0.3      0.7      0.0
2003 11 30      0.1      0.5      0.5      0.0      0.5      0.5      0.0
2003 12  1      0.4      0.8      0.2      0.0      0.6      0.4      0.0
2003 12  2      0.0      0.9      0.1      0.0      0.8      0.2      0.0
2003 12  3      0.0      0.9      0.1      0.0      0.9      0.1      0.0
2003 12  4      0.3      0.8      0.2      0.0      0.6      0.4      0.0
2003 12  5      0.0      0.9      0.1      0.0      0.9      0.1      0.0
2003 12  6      0.0      0.9      0.1      0.0      0.8      0.2      0.0
2003 12  7      0.0      0.1      0.9      0.0      0.1      0.9      0.0
2003 12  8      0.0      0.9      0.1      0.0      0.9      0.1      0.0
2003 12  9      0.0      1.0      0.0      0.0      0.7      0.3      0.0
2003 12 10      0.0      0.4      0.6      0.0      0.8      0.2      0.0
2003 12 11      0.0      0.3      0.7      0.0      0.4      0.6      0.0
2003 12 12      0.0      0.9      0.1      0.0      0.6      0.4      0.0
2003 12 13      0.0      0.9      0.1      0.0      0.7      0.3      0.0
2003 12 14      1.8      0.0      0.8      0.2      0.0      0.8      0.2
2003 12 15      3.1      0.4      0.6      0.0      0.8      0.2      0.0
2003 12 16      0.0      0.8      0.2      0.0      0.8      0.2      0.0
2003 12 17      2.6      0.2      0.8      0.0      0.9      0.1      0.0
2003 12 18      0.2      0.2      0.8      0.0      0.7      0.3      0.0
2003 12 19      0.0      0.4      0.6      0.0      0.7      0.3      0.0
2003 12 20      0.0      0.6      0.4      0.0      0.4      0.6      0.0
2003 12 21      3.1      0.4      0.6      0.0      0.8      0.2      0.0
2003 12 22      1.8      0.7      0.3      0.0      0.7      0.3      0.0
2003 12 23      0.5      0.9      0.1      0.0      0.9      0.1      0.0
2003 12 24      0.4      0.1      0.5      0.4      0.4      0.5      0.1
2003 12 25      0.3      0.3      0.3      0.4      0.5      0.4      0.1
2003 12 26      0.0      0.7      0.2      0.1      0.4      0.4      0.2
2003 12 27      4.9      0.2      0.2      0.6      0.2      0.2      0.6
2003 12 28      1.2      0.0      0.7      0.3      0.5      0.4      0.1
2003 12 29      8.3      0.1      0.4      0.5      0.1      0.7      0.2
2003 12 30      0.0      0.9      0.1      0.0      0.7      0.3      0.0
2003 12 31      0.0      0.9      0.1      0.0      0.9      0.1      0.0
